,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,positiveRate,recent_positiveRate,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,school canceled,stay at home,pandemic declared
2419,2020-03-06,AK,0.0,8.0,1.0,,,,,,,,b95ff00414e9a5542ba2aa08fdfda0b023c7c69c,2020-03-06T21:00:00Z,,,9.0,8.0,8.0,2,,,,,,0.0,,9.0,4.0,10.0,9.0,0.0,1.0,False,False,False
2368,2020-03-07,AK,0.0,12.0,2.0,,,,,,,,71953eb42494f6000afda41cda80b1b3dc836a83,2020-03-07T21:00:00Z,,,14.0,12.0,12.0,2,0.0,0.0,4.0,0.0,4.0,0.0,0.0,12.0,10.0,17.0,9.0,3.0,-1.0,False,False,False
2317,2020-03-08,AK,0.0,14.0,6.0,,,,,,,,844624448b0ee3ff7dd240e0d3f4258de1563064,2020-03-08T20:00:00Z,,,20.0,14.0,14.0,2,0.0,0.0,2.0,0.0,2.0,0.0,0.0,13.0,8.0,34.0,9.0,2.0,-1.0,False,False,False
2266,2020-03-09,AK,0.0,23.0,9.0,,,,,,,,b5cbe627dd51a6e70136134185391030f93ffcb5,2020-03-09T20:00:00Z,,,32.0,23.0,23.0,2,0.0,0.0,9.0,0.0,9.0,0.0,0.0,7.0,4.0,14.0,3.0,-10.0,2.0,False,False,False
2215,2020-03-10,AK,0.0,23.0,9.0,,,,,,,,6561feac0f53ef762911b4995038df195c62b2cb,2020-03-10T20:00:00Z,,,32.0,23.0,23.0,2,0.0,0.0,0.0,0.0,0.0,0.0,,13.0,6.0,11.0,2.0,-7.0,2.0,False,False,False
2164,2020-03-11,AK,0.0,46.0,14.0,,,,,,,,e25f7bc0f21f762541d825d606787c8b6be7b406,2020-03-11T20:00:00Z,,,60.0,46.0,46.0,2,0.0,0.0,23.0,0.0,23.0,0.0,0.0,12.0,9.0,16.0,3.0,-8.0,2.0,False,False,True
2113,2020-03-12,AK,0.0,46.0,14.0,,,,,,,,e6a2e85fdf548043d8e908d506c334dfa37b0982,2020-03-12T20:00:00Z,,,60.0,46.0,46.0,2,0.0,0.0,0.0,0.0,0.0,0.0,,12.0,19.0,21.0,-1.0,-9.0,2.0,False,False,True
2062,2020-03-13,AK,1.0,59.0,,,,,,,,,f912dbdc1e4737b9efd9715f5c60bc397601b547,2020-03-13T20:00:00Z,,,60.0,60.0,60.0,2,0.0,0.0,13.0,1.0,14.0,0.016666666666666666,0.07142857142857142,7.0,19.0,16.0,0.0,-10.0,3.0,False,False,True
2011,2020-03-14,AK,1.0,143.0,,,,,,,,,d6e6e61fb8c0d1c2340d7df1983d63227e4dfe0d,2020-03-14T20:00:00Z,,,144.0,144.0,144.0,2,0.0,0.0,84.0,0.0,84.0,0.006944444444444444,0.0,0.0,19.0,37.0,1.0,-1.0,1.0,False,False,True
1960,2020-03-15,AK,1.0,143.0,,,,,,,,,60c27932a683c3682cf48a12a0e94b719a58f853,2020-03-15T20:00:00Z,,,144.0,144.0,144.0,2,0.0,0.0,0.0,0.0,0.0,0.006944444444444444,,5.0,14.0,58.0,7.0,-1.0,0.0,False,False,True
