Country/Region,Province/State,Lat,Long,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020
US,AK,,,,,0,0,0,0,0,0,0,1,1,1,1,3,6,6,12,14,22,22,36,42,59,69,85
US,AL,,,,,,0,0,0,0,0,0,1,6,12,28,36,46,68,81,124,138,167,215,283,506,587,696
US,AR,,,,,0,0,0,0,0,0,6,9,12,16,22,22,33,46,96,118,165,174,218,280,335,381,404
US,AS,,,,,,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0
US,AZ,,,2,2,3,5,5,5,6,9,9,9,12,12,18,20,28,44,65,104,152,265,357,450,577,736,873
US,CA,,,53,53,60,69,88,114,133,157,202,202,252,293,335,483,611,924,1063,1279,1536,1733,2102,2355,3006,3879,4643
US,CO,,,,0,2,8,8,9,12,28,45,72,101,131,131,160,183,216,277,363,475,591,720,912,1086,1430,1734
US,CT,,,,,,0,1,1,2,3,6,6,11,20,26,41,68,96,194,194,223,415,618,875,1012,1291,1291
US,DC,,,,0,0,0,1,1,5,4,10,10,10,16,17,22,31,39,71,77,98,116,137,183,231,267,304
US,DE,,,,,0,0,0,0,0,1,4,4,6,6,8,16,25,30,38,45,56,68,91,115,130,163,214
US,FL,,,2,9,9,14,17,18,19,28,32,50,77,116,141,186,314,390,520,658,830,1171,1412,1682,2355,2765,3763
US,GA,,,2,2,2,6,7,12,17,22,31,42,66,99,121,146,197,287,420,507,600,772,1026,1247,1525,2001,2366
US,GU,,,,,,,,,,,,,,,3,5,8,12,14,15,27,29,32,37,45,51,55
US,HI,,,,,,1,1,2,2,2,2,2,2,2,7,10,14,16,26,37,48,56,77,90,95,106,120
US,IA,,,,,0,0,0,3,8,13,14,16,17,18,22,23,29,38,45,68,90,105,124,145,179,235,298
US,ID,,,,,,0,0,0,0,0,0,0,2,5,5,7,9,11,23,31,42,47,50,73,123,189,230
US,IL,,,4,5,5,6,6,7,19,19,25,32,46,64,93,160,288,422,585,753,1049,1273,1535,1865,2538,3026,3491
US,IN,,,,,1,1,2,2,6,10,12,12,15,19,24,30,39,56,79,126,201,259,365,477,645,981,1232
US,KS,,,,,0,0,1,1,1,1,4,6,6,8,11,15,16,34,44,55,64,82,98,126,168,202,261
US,KY,,,,,0,1,1,4,6,8,8,11,14,16,21,22,26,35,47,54,99,104,124,157,198,248,302
US,LA,,,,,,0,0,1,1,6,14,36,69,91,114,171,240,347,479,585,837,1172,1388,1795,2305,2746,3315
US,MA,,,2,2,8,13,13,41,92,92,95,123,138,138,164,218,256,328,413,525,646,777,1159,1838,2417,3240,4257
US,MD,,,,0,3,3,3,5,6,9,12,17,26,31,37,57,85,107,149,190,244,288,349,423,580,774,992
US,ME,,,,,,0,0,0,0,0,1,3,3,3,17,32,43,53,57,73,89,107,125,149,155,168,211
US,MI,,,,0,0,0,0,0,0,2,2,16,25,33,53,65,80,336,549,787,1035,1328,1791,2294,2856,3657,3657
US,MN,,,,,0,1,1,2,3,5,9,14,21,35,54,60,77,89,115,138,169,235,262,287,346,398,441
US,MO,,,,,,0,1,1,1,1,1,2,4,5,6,8,13,24,47,73,90,183,183,356,502,669,838
US,MP,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2
US,MS,,,,,,0,0,0,0,0,1,4,6,10,12,21,34,50,80,140,207,249,320,377,485,579,663
US,MT,,,,,,0,0,0,0,0,1,1,5,7,7,8,10,12,16,20,31,34,46,53,71,108,129
US,NC,,,1,1,2,2,2,2,7,7,12,15,23,32,33,40,63,97,137,184,255,297,398,504,636,763,935
US,ND,,,,,,0,0,0,0,0,1,1,1,1,1,3,6,15,20,28,28,30,34,39,52,65,83
US,NE,,,,0,0,1,1,3,3,5,10,13,14,17,18,21,24,27,32,38,48,50,52,61,73,85,96
US,NH,,,2,2,2,2,4,4,4,4,6,6,7,13,13,17,26,39,44,55,65,78,101,108,137,158,187
US,NJ,,,,1,1,4,6,11,15,24,30,50,50,98,178,267,427,742,890,1327,1914,2844,3675,4402,6876,8825,11124
US,NM,,,,,0,0,0,0,0,3,5,10,10,13,17,23,28,35,43,57,57,65,83,100,112,136,191
US,NV,,,,1,1,1,1,1,0,5,7,11,20,21,45,55,55,95,109,124,190,245,278,321,420,535,621
US,NY,,,6,22,33,76,105,142,173,216,216,421,524,729,950,1700,2382,4152,7102,10356,15168,20875,25665,30811,37258,44635,52318
US,OH,,,,0,0,0,0,3,3,4,5,13,13,36,50,67,88,119,169,247,351,442,564,704,867,1137,1406
